ticker,declared_date,ex_date,pay_date,amount,frequency,type
1 HK Equity,2026-08-13,2026-09-14,2026-09-24,0.7455,Semi-Anl,Interim
1 HK Equity,2026-03-19,2026-05-27,2026-06-11,1.602,Semi-Anl,Final
1 HK Equity,2025-08-14,2025-09-15,2025-09-25,0.71,Semi-Anl,Interim
1 HK Equity,2025-03-20,2025-05-27,2025-06-12,1.514,Semi-Anl,Final
1 HK Equity,2024-08-15,2024-09-13,2024-09-26,0.688,Semi-Anl,Interim
1 HK Equity,2024-03-21,2024-05-28,2024-06-13,1.775,Semi-Anl,Final
1 HK Equity,2023-08-03,2023-09-04,2023-09-14,0.756,Semi-Anl,Interim
1 HK Equity,2023-03-16,2023-05-23,2023-06-08,2.086,Semi-Anl,Final
1 HK Equity,2022-08-04,2022-09-05,2022-09-16,0.84,Semi-Anl,Interim
1 HK Equity,2022-03-17,2022-05-24,2022-06-09,1.86,Semi-Anl,Final
1 HK Equity,2021-08-05,2021-09-06,2021-09-16,0.8,Semi-Anl,Interim
1 HK Equity,2021-03-18,2021-05-18,2021-06-03,1.7,Semi-Anl,Final
1 HK Equity,2020-08-06,2020-09-07,2020-09-17,0.614,Semi-Anl,Interim
1 HK Equity,2020-03-19,2020-05-19,2020-05-29,2.3,Semi-Anl,Final
1 HK Equity,2019-08-01,2019-09-02,2019-09-12,0.87,Semi-Anl,Interim
1 HK Equity,2019-03-21,2019-05-21,2019-05-31,2.3,Semi-Anl,Final
1 HK Equity,2018-08-02,2018-09-03,2018-09-13,0.87,Semi-Anl,Interim
1 HK Equity,2018-03-16,2018-05-15,2018-05-31,2.07,Semi-Anl,Final
1 HK Equity,2017-08-03,2017-09-04,2017-09-14,0.78,Semi-Anl,Interim
1 HK Equity,2017-03-22,2017-05-16,2017-05-31,1.945,Semi-Anl,Final
1 HK Equity,2016-08-11,2016-09-09,2016-09-22,0.735,Semi-Anl,Interim
1 HK Equity,2016-03-17,2016-05-18,2016-06-01,1.85,Semi-Anl,Final
1 HK Equity,2015-08-25,2015-09-22,2015-10-06,0.7,Semi-Anl,Interim
1 HK Equity,2015-02-06,2015-05-27,2015-06-02,1.0,None,Spinoff
1 HK Equity,2015-02-26,2015-03-11,2015-04-15,3.016,Semi-Anl,Interim
1 HK Equity,2014-07-31,2014-09-01,2014-09-12,0.638,Semi-Anl,Interim
1 HK Equity,2014-02-28,2014-05-21,2014-06-05,2.9,Semi-Anl,Final
1 HK Equity,2014-03-21,2014-05-05,2014-05-14,7.0,None,Special Cash
1 HK Equity,2013-08-01,2013-09-03,2013-09-13,0.58,Semi-Anl,Interim
1 HK Equity,2013-03-26,2013-05-24,2013-06-07,2.63,Semi-Anl,Final
1 HK Equity,2012-08-02,2012-09-11,2012-09-21,0.53,Semi-Anl,Interim
