ticker,fiscal_period,announce_date
1 HK Equity,2026:S1,2026-08-13
1 HK Equity,2025:A,2026-03-19
1 HK Equity,2025:S2,2026-03-19
1 HK Equity,2025:S1,2025-08-14
1 HK Equity,2024:A,2025-03-20
1 HK Equity,2024:S2,2025-03-20
1 HK Equity,2024:S1,2024-08-15
1 HK Equity,2023:A,2024-03-21
1 HK Equity,2023:S2,2024-03-21
1 HK Equity,2023:S1,2023-08-03
1 HK Equity,2022:A,2023-03-16
1 HK Equity,2022:S2,2023-03-16
1 HK Equity,2022:S1,2022-08-04
1 HK Equity,2021:A,2022-03-17
1 HK Equity,2021:S2,2022-03-17
1 HK Equity,2021:S1,2021-08-05
1 HK Equity,2020:A,2021-03-18
1 HK Equity,2020:S2,2021-03-18
1 HK Equity,2020:S1,2020-08-06
1 HK Equity,2019:A,2020-03-19
1 HK Equity,2019:S2,2020-03-19
1 HK Equity,2019:S1,2019-08-01
1 HK Equity,2018:A,2019-03-21
1 HK Equity,2018:S2,2019-03-21
1 HK Equity,2018:S1,2018-08-02
1 HK Equity,2017:A,2018-03-16
1 HK Equity,2017:S2,2018-03-16
1 HK Equity,2017:S1,2017-08-03
1 HK Equity,2016:A,2017-03-22
1 HK Equity,2016:S2,2017-03-22
1 HK Equity,2016:S1,2016-08-11
1 HK Equity,2015:A,2016-03-17
1 HK Equity,2015:S2,2016-03-17
1 HK Equity,2015:S1,2015-08-25
1 HK Equity,2014:A,2015-02-26
1 HK Equity,2014:S2,2015-02-26
1 HK Equity,2014:S1,2014-07-31
1 HK Equity,2013:A,2014-02-28
1 HK Equity,2013:S2,2014-02-28
1 HK Equity,2013:S1,2013-08-01
1 HK Equity,2012:A,2013-03-26
1 HK Equity,2012:S2,2013-03-26
1 HK Equity,2012:S1,2012-08-02
1 HK Equity,2011:A,2012-03-29
1 HK Equity,2011:S2,2012-03-29
1 HK Equity,2011:S1,2011-08-04
1 HK Equity,2010:A,2011-03-29
1 HK Equity,2010:S2,2011-03-29
1 HK Equity,2010:S1,2010-08-05
1 HK Equity,2009:A,2010-03-30
1 HK Equity,2009:S2,2010-03-30
1 HK Equity,2009:S1,2009-08-13
1 HK Equity,2008:A,2009-03-26
1 HK Equity,2008:S2,2009-03-26
1 HK Equity,2008:S1,2008-08-21
1 HK Equity,2007:A,2008-03-27
1 HK Equity,2007:S2,2008-03-27
1 HK Equity,2007:S1,2007-08-23
1 HK Equity,2006:A,2007-03-22
1 HK Equity,2006:S2,2007-03-22
1 HK Equity,2006:S1,2006-08-24
1 HK Equity,2005:A,2006-03-23
1 HK Equity,2005:S2,2006-03-23
1 HK Equity,2005:S1,2005-08-25
1 HK Equity,2004:A,2005-03-31
1 HK Equity,2004:S2,2005-03-31
1 HK Equity,2004:S1,2004-08-19
1 HK Equity,2003:A,2004-03-18
1 HK Equity,2003:S2,2004-03-18
1 HK Equity,2003:S1,2003-08-21
1 HK Equity,2002:A,2003-03-20
1 HK Equity,2002:S2,2003-03-20
1 HK Equity,2002:S1,2002-08-22
1 HK Equity,2001:A,2002-03-21
1 HK Equity,2001:S2,2002-03-21
1 HK Equity,2001:S1,2001-08-23
1 HK Equity,2000:A,2001-03-22
1 HK Equity,2000:S2,2001-03-22
1 HK Equity,2000:S1,2000-08-24
1 HK Equity,1999:A,2000-03-23
1 HK Equity,1999:S1,1999-08-26
1 HK Equity,1998:A,2000-03-23
1 HK Equity,1998:S2,1999-08-27
1 HK Equity,1998:S1,1998-08-27
1 HK Equity,1997:A,1998-03-26
1 HK Equity,1997:S2,1998-03-26
1 HK Equity,1997:S1,1997-08-28
1 HK Equity,1996:A,1997-03-26
1 HK Equity,1996:S2,1997-03-26
1 HK Equity,1996:S1,1996-08-22
1 HK Equity,1995:A,1996-03-28
1 HK Equity,1995:S2,1996-03-28
1 HK Equity,1995:S1,1995-08-24
1 HK Equity,1994:A,1995-03-30
1 HK Equity,1993:A,1994-03-25
1 HK Equity,1992:A,1993-03-25
1 HK Equity,1991:A,1992-03-26
1 HK Equity,1990:A,1991-03-28
101 HK Equity,2026:S1,2026-07-31
101 HK Equity,2025:A,2026-01-30
101 HK Equity,2025:S2,2026-01-30
101 HK Equity,2025:S1,2025-07-30
101 HK Equity,2024:A,2025-01-24
101 HK Equity,2024:S2,2025-01-24
101 HK Equity,2024:S1,2024-07-30
101 HK Equity,2023:A,2024-01-30
101 HK Equity,2023:S2,2024-01-30
101 HK Equity,2023:S1,2023-07-31
101 HK Equity,2022:A,2023-01-31
101 HK Equity,2022:S2,2023-01-31
101 HK Equity,2022:S1,2022-07-28
101 HK Equity,2021:A,2022-01-26
101 HK Equity,2021:S2,2022-01-27
101 HK Equity,2021:S1,2021-07-29
101 HK Equity,2020:A,2021-01-28
101 HK Equity,2020:S2,2021-01-28
101 HK Equity,2020:S1,2020-07-30
101 HK Equity,2019:A,2020-01-21
101 HK Equity,2019:S2,2020-01-21
101 HK Equity,2019:S1,2019-07-30
101 HK Equity,2018:A,2019-01-29
101 HK Equity,2018:S2,2019-01-29
101 HK Equity,2018:S1,2018-07-30
101 HK Equity,2017:A,2018-01-30
101 HK Equity,2017:S2,2018-01-30
101 HK Equity,2017:S1,2017-07-27
101 HK Equity,2016:A,2017-01-26
101 HK Equity,2016:S2,2017-01-26
101 HK Equity,2016:S1,2016-07-28
101 HK Equity,2015:A,2016-01-28
101 HK Equity,2015:S2,2016-01-28
101 HK Equity,2015:S1,2015-07-30
101 HK Equity,2014:A,2015-01-26
101 HK Equity,2014:S2,2015-01-26
101 HK Equity,2014:S1,2014-07-31
101 HK Equity,2013:A,2014-01-23
101 HK Equity,2013:S2,2014-01-23
101 HK Equity,2013:S1,2013-07-31
101 HK Equity,2012:A,2013-01-31
101 HK Equity,2012:S2,2013-01-31
101 HK Equity,2012:S1,2012-07-31
101 HK Equity,2011:A,2011-08-01
101 HK Equity,2011:S2,2011-08-01
101 HK Equity,2011:S1,2011-01-26
101 HK Equity,2010:A,2010-07-28
101 HK Equity,2010:S2,2010-07-28
101 HK Equity,2010:S1,2010-01-27
101 HK Equity,2009:A,2009-07-31
101 HK Equity,2009:S2,2009-07-31
101 HK Equity,2009:S1,2009-02-10
101 HK Equity,2008:A,2008-08-13
101 HK Equity,2008:S2,2008-08-13
101 HK Equity,2008:S1,2008-02-20
101 HK Equity,2007:A,2007-08-15
101 HK Equity,2007:S2,2007-08-15
101 HK Equity,2007:S1,2007-02-08
101 HK Equity,2006:A,2006-08-21
101 HK Equity,2006:S2,2006-08-21
101 HK Equity,2006:S1,2006-03-20
101 HK Equity,2005:A,2005-08-31
101 HK Equity,2005:S2,2005-08-31
101 HK Equity,2005:S1,2005-03-03
101 HK Equity,2004:A,2004-09-08
101 HK Equity,2004:S2,2004-09-08
101 HK Equity,2004:S1,2004-02-18
101 HK Equity,2003:A,2003-08-29
101 HK Equity,2003:S2,2003-08-29
101 HK Equity,2003:S1,2003-02-20
101 HK Equity,2002:A,2002-08-28
101 HK Equity,2002:S2,2002-08-28
101 HK Equity,2002:S1,2002-03-01
101 HK Equity,2001:A,2001-09-24
101 HK Equity,2001:S2,2001-09-24
101 HK Equity,2001:S1,2001-03-02
101 HK Equity,2000:A,2000-09-22
101 HK Equity,2000:S2,2000-09-22
101 HK Equity,2000:S1,2000-03-24
101 HK Equity,1999:A,1999-09-22
101 HK Equity,1999:S2,1999-09-22
101 HK Equity,1999:S1,1999-03-26
101 HK Equity,1998:A,1998-09-25
101 HK Equity,1998:S2,1998-09-25
101 HK Equity,1998:S1,1998-03-27
101 HK Equity,1997:A,1997-09-23
101 HK Equity,1996:A,1996-09-20
101 HK Equity,1995:A,1995-07-31
1024 HK Equity,2026:S1,2026-08-19
1024 HK Equity,2026:C2,2026-08-19
1024 HK Equity,2026:Q2,2026-08-19
1024 HK Equity,2026:Q1,2026-05-27
1024 HK Equity,2025:A,2026-03-25
1024 HK Equity,2025:S2,2026-03-25
1024 HK Equity,2025:Q4,2026-03-25
1024 HK Equity,2025:C3,2025-11-19
1024 HK Equity,2025:Q3,2025-11-19
1024 HK Equity,2025:S1,2025-08-21
1024 HK Equity,2025:C2,2025-08-21
1024 HK Equity,2025:Q2,2025-08-21
1024 HK Equity,2025:Q1,2025-05-27
1024 HK Equity,2024:A,2025-03-25
1024 HK Equity,2024:S2,2025-03-25
1024 HK Equity,2024:Q4,2025-03-25
1024 HK Equity,2024:C3,2024-11-20
1024 HK Equity,2024:Q3,2024-11-20
1024 HK Equity,2024:S1,2024-08-20
1024 HK Equity,2024:C2,2024-08-20
1024 HK Equity,2024:Q2,2024-08-20
1024 HK Equity,2024:Q1,2024-05-22
1024 HK Equity,2023:A,2024-03-20
1024 HK Equity,2023:S2,2024-03-20
1024 HK Equity,2023:Q4,2024-03-20
1024 HK Equity,2023:C3,2023-11-21
1024 HK Equity,2023:Q3,2023-11-21
1024 HK Equity,2023:S1,2023-08-22
1024 HK Equity,2023:C2,2023-08-22
1024 HK Equity,2023:Q2,2023-08-22
1024 HK Equity,2023:Q1,2023-05-22
1024 HK Equity,2022:A,2023-03-29
1024 HK Equity,2022:S2,2023-03-29
1024 HK Equity,2022:Q4,2023-03-29
1024 HK Equity,2022:C3,2022-11-22
1024 HK Equity,2022:Q3,2022-11-22
1024 HK Equity,2022:S1,2022-08-23
1024 HK Equity,2022:C2,2022-08-23
1024 HK Equity,2022:Q2,2022-08-23
1024 HK Equity,2022:Q1,2022-05-24
1024 HK Equity,2021:A,2022-03-29
1024 HK Equity,2021:S2,2022-03-29
1024 HK Equity,2021:Q4,2022-03-29
1024 HK Equity,2021:C3,2021-11-23
1024 HK Equity,2021:Q3,2021-11-23
1024 HK Equity,2021:S1,2021-08-25
1024 HK Equity,2021:Q2,2021-08-25
1024 HK Equity,2021:Q1,2021-05-24
1024 HK Equity,2020:A,2021-03-23
1024 HK Equity,2020:S2,2021-03-23
1024 HK Equity,2020:Q4,2021-03-23
1024 HK Equity,2020:C3,2021-01-26
1024 HK Equity,2020:Q3,2021-01-26
1024 HK Equity,2020:S1,2021-08-25
1024 HK Equity,2020:Q2,2021-08-25
1024 HK Equity,2020:Q1,2021-05-24
1024 HK Equity,2019:A,2021-01-26
1024 HK Equity,2019:S2,2021-01-26
1024 HK Equity,2019:Q4,2021-01-26
1024 HK Equity,2019:C3,2021-01-26
1024 HK Equity,2019:Q3,2021-01-26
1024 HK Equity,2019:S1,2020-11-05
1024 HK Equity,2018:A,2021-01-26
1024 HK Equity,2017:A,2021-01-26
1038 HK Equity,2026:S1,2026-08-12
1038 HK Equity,2025:A,2026-03-18
