ticker,period_end,revenue,net_income,eps,bvps,cfo,total_debt,roe,shares_out,announce_date,announce_date_est
1 HK Equity,2016-06-30,128512.0,14921.0,3.87,102.4925,18874.0,335820.0,8.0321,3859.678,2016-08-11,False
1 HK Equity,2016-12-31,131330.0,18087.0,4.6867,102.1778,21464.0,307423.0,8.3819,3857.678,2017-03-22,False
1 HK Equity,2017-06-30,117755.0,15919.0,4.13,105.4365,22202.0,329751.0,8.4768,3857.678,2017-08-03,False
1 HK Equity,2017-12-31,130760.0,19181.0,4.9722,111.4805,31394.0,335131.0,8.5171,3857.6785,2018-03-16,False
1 HK Equity,2018-06-30,130984.0,18020.0,4.67,113.9527,21361.0,337665.0,8.7911,3857.6785,2018-08-02,False
1 HK Equity,2018-12-31,146145.0,20980.0,5.4398,115.6958,34373.0,352308.0,8.902,3856.2405,2019-03-21,False
1 HK Equity,2019-06-30,147620.0,18324.0,4.75,114.5305,26647.0,432165.0,8.9201,3856.2405,2019-08-01,False
1 HK Equity,2019-12-31,151401.0,21506.0,5.5769,120.3984,42623.0,438976.0,8.7497,3856.2405,2020-03-19,False
1 HK Equity,2020-06-30,124651.0,13000.0,3.37,120.7941,28773.0,442049.0,7.6049,3856.2405,2020-08-06,False
1 HK Equity,2020-12-31,141745.0,16143.0,4.1862,128.1808,44398.0,444134.0,6.0804,3856.2405,2021-03-18,False
1 HK Equity,2021-06-30,135496.0,18300.0,4.75,133.4923,28900.0,440779.0,7.0325,3856.0405,2021-08-05,False
1 HK Equity,2021-12-31,145351.0,15184.0,3.9814,133.8203,23284.0,411637.0,6.6473,3834.6345,2022-03-17,False
1 HK Equity,2022-06-30,131358.0,19088.0,4.98,134.133,28034.0,359129.0,6.6673,3834.4845,2022-08-04,False
1 HK Equity,2022-12-31,131139.0,17592.0,4.5888,136.6859,28680.0,352952.0,7.0765,3830.0445,2023-03-16,False
1 HK Equity,2023-06-30,133377.0,11208.0,2.93,140.2981,21191.0,354478.0,5.477,3830.0445,2023-08-03,False
1 HK Equity,2023-12-31,142198.0,12292.0,3.2094,142.044,30246.0,343090.0,4.4026,3830.0445,2024-03-21,False
1 HK Equity,2024-06-30,136451.0,10205.0,2.66,140.8446,22965.0,343257.0,4.1785,3830.0445,2024-08-15,False
1 HK Equity,2024-12-31,144900.0,6883.0,1.7971,139.6106,31263.0,322508.0,3.1681,3830.0445,2025-03-20,False
1 HK Equity,2025-06-30,139130.0,852.0,0.22,144.8521,30961.0,327054.0,1.4138,3830.0445,2025-08-14,False
1 HK Equity,2025-12-31,140906.0,10989.0,2.8692,146.9362,31606.0,334282.0,2.1578,3830.0445,2026-03-19,False
1 HK Equity,2026-06-30,136485.0,26801.0,7.0,151.0371,32991.0,316658.0,6.6692,3830.0445,2026-08-13,False
101 HK Equity,2016-06-30,6311.0,2935.0,0.65,28.4227,2358.0,31567.0,3.9826,4497.17578,2016-07-28,False
101 HK Equity,2016-12-31,6748.0,3260.0,0.7249,28.1443,3983.0,27082.0,4.8483,4497.57568,2017-01-26,False
101 HK Equity,2017-06-30,6358.0,3830.0,0.85,28.8604,5914.0,23799.0,5.504,4497.57568,2017-07-27,False
101 HK Equity,2017-12-31,4841.0,4294.0,0.9546,30.2708,2054.0,25158.0,6.1845,4497.57567,2018-01-30,False
