date,AUDUSD Curncy,BDIY Index,CL1 Comdty,CNCPIYOY Index,CNGDPYOY Index,CO1 Comdty,CPI YOY Index,CPMINDX Index,DXY Curncy,EURUSD Curncy,FDTR Index,GBPUSD Curncy,GC1 Comdty,GCNY10YR Index,HG1 Comdty,HIHD01M Index,HIHD03M Index,HKCPIY Index,HKGDYOY Index,HKUERATE Index,HSAHP Index,HSCEI Index,HSCI Index,HSI Index,HSTECH Index,LF98TRUU Index,LUACTRUU Index,MXEF Index,MXWO Index,NAPMPMI Index,NDX Index,NG1 Comdty,NKY Index,SHCOMP Index,SHSZ300 Index,SI1 Comdty,SPX Index,USDCNH Curncy,USDCNY Curncy,USDHKD Curncy,USDJPY Curncy,USGG10YR Index,USGG2YR Index,USGG30YR Index,USURTOT Index,VHSI Index,VIX Index
2016-01-01,0.7303,,,,,,,,98.683,1.0856,0.5,1.4746,,,,,,,,,,,,,,,,794.21,1662.79,,,,,,,,,6.5697,,7.7503,120.55,2.2694,1.0477,3.0158,,,
2016-01-04,0.7191,473.0,36.76,,,37.22,,,98.869,1.0831,0.5,1.4716,1075.2,,207.95,0.22499,0.395,,,,136.36,9311.18,2933.81,21327.12,3192.45,1543.44,2572.39,767.77,1630.89,,4497.86,2.334,18450.98,3296.258,3469.07,13.841,2012.66,6.6301,6.5335,7.7515,119.44,2.2428,1.0358,2.9872,,23.3,20.7
2016-01-05,0.7161,468.0,35.97,,,36.42,,,99.404,1.0748,0.5,1.4675,1078.4,2.93,209.55,0.22321,0.395,,,,137.87,9223.01,2916.5,21188.72,3182.63,1548.48,2571.36,768.46,1630.64,,4484.18,2.325,18374.0,3287.71,3478.78,13.971,2016.71,6.6449,6.5159,7.7516,119.06,2.2357,1.0139,2.9951,,23.25,19.34
2016-01-06,0.7072,467.0,33.97,,,34.23,,,99.181,1.0781,0.5,1.463,1091.9,2.93,208.8,0.22179,0.39429,,,,140.99,9137.79,2893.18,20980.81,3178.15,1548.38,2583.04,759.81,1610.17,,4443.98,2.267,18191.32,3361.84,3539.81,13.976,1990.26,6.6964,6.5559,7.7526,118.47,2.1702,0.976,2.9375,,24.94,20.59
2016-01-07,0.7012,445.0,33.27,,,33.75,,,98.219,1.0932,0.5,1.4618,1107.8,2.9,202.2,0.22036,0.395,,,,138.85,8753.97,2792.52,20333.34,3030.56,1542.36,2582.2,738.86,1576.32,,4305.73,2.382,17767.34,3125.002,3294.38,14.344,1943.09,6.6823,6.5929,7.7583,117.67,2.1455,0.948,2.9258,,28.87,24.99
2016-01-08,0.6953,429.0,33.16,,,33.55,,,98.54,1.0922,0.5,1.4517,1097.9,2.87,202.2,0.22493,0.39556,,,,140.46,8845.89,2806.71,20453.71,3080.95,1544.04,2585.65,740.07,1561.47,,4270.78,2.472,17697.96,3186.412,3361.56,13.918,1922.03,6.6831,6.5948,7.7633,117.26,2.1156,0.9318,2.9094,,26.98,27.01
2016-01-11,0.6995,415.0,31.41,,,31.55,,,98.725,1.0859,0.5,1.4543,1096.2,2.86,197.25,0.22707,0.39929,,,,140.41,8505.16,2718.74,19888.5,2945.66,1539.82,2579.56,723.36,1557.59,,4283.55,2.396,,3016.704,3192.45,13.866,1923.67,6.5855,6.5711,7.7639,117.76,2.1754,0.9317,2.9682,,30.84,24.3
2016-01-12,0.6986,402.0,30.44,,,30.86,,,98.974,1.0858,0.5,1.4448,1085.2,2.83,195.9,0.22921,0.40643,,,,141.84,8439.31,2700.02,19711.76,2897.84,1536.94,2588.38,723.21,1561.68,,4333.72,2.257,17218.96,3022.861,3215.71,13.751,1938.68,6.578,6.5729,7.7629,117.65,2.1032,0.9235,2.8815,,29.9,22.47
2016-01-13,0.6955,394.0,30.48,,,30.31,,,98.933,1.0877,0.5,1.4407,1087.1,2.83,195.6,0.22636,0.40571,,,,139.05,8494.49,2725.43,19934.88,2908.94,1530.43,2591.14,729.56,1544.28,,4183.12,2.269,17715.63,2949.597,3155.88,14.156,1890.28,6.5672,6.5754,7.7618,117.68,2.0927,0.9073,2.8822,,27.6,25.22
2016-01-14,0.6985,383.0,31.2,,,31.03,,,99.089,1.0865,0.5,1.4413,1073.6,2.77,197.6,0.22564,0.405,,,,140.73,8459.63,2708.48,19817.41,2904.34,1521.9,2577.26,723.15,1549.06,,4272.97,2.139,17240.95,3007.649,3221.57,13.748,1921.84,6.6021,6.59,7.7825,118.06,2.0874,0.8911,2.8869,,28.15,23.95
2016-01-15,0.6864,373.0,29.42,,,28.94,,,98.956,1.0916,0.5,1.4258,1090.7,2.78,194.35,0.22799,0.415,,,,140.72,8236.28,2665.04,19520.77,2836.13,1504.69,2582.32,709.19,1521.0,,4141.08,2.1,17147.11,2900.97,3118.73,13.896,1880.33,6.6139,6.5849,7.795,116.98,2.0347,0.85,2.814,,29.41,27.02
2016-01-18,0.6866,369.0,,,,28.55,,,98.956,1.0892,0.5,1.4243,,2.82,,0.26752,0.44871,,,,142.49,8134.81,2628.05,19237.45,2809.75,,,703.41,1514.05,,,,16955.57,2913.837,3130.73,,,6.5848,6.5788,7.7986,117.32,2.0347,0.85,2.814,,31.4,
2016-01-19,0.6909,363.0,28.46,,,28.76,,,98.991,1.0908,0.5,1.4158,1089.1,2.81,197.75,0.27693,0.47029,,,,141.93,8377.8,2686.04,19635.81,2919.41,1505.9,2579.31,714.37,1520.49,,4147.08,2.091,17048.37,3007.739,3223.13,14.121,1881.33,6.5906,6.5786,7.8191,117.64,2.0556,0.87,2.8262,,27.51,26.05
