strategy,ann_ret,ann_vol,sharpe,t,maxdd,worst,n,skew,kurt,period,family
MOM L/S plain,0.22869907249453564,0.20492649734467436,1.1160053748924288,2.4954638815146084,-0.2821827631194076,-0.10664404646900603,60,0.5692329412293039,3.9999496724061565,IS,A
MOM L/S plain,0.028784679441791798,0.28961200025527467,0.09939049285395606,0.21470800402448287,-0.46079889166374643,-0.33534470011878864,56,-1.4629311644821281,6.894774247464635,OOS,A
MOM L/S plain,0.13218867584838345,0.24999647761726898,0.5287621534042457,1.6439883445762982,-0.4607988916637463,-0.33534470011878864,116,-1.037753050809859,7.475264582470163,FULL,A
MOM long-only,0.329161785491736,0.23374083537722487,1.4082339740102117,3.148906894111505,-0.2794758895278787,-0.13220635876338716,60,-0.04425901311796692,2.930474258416379,IS,A
MOM long-only,0.14288259203045117,0.239376285072858,0.5968953523819729,1.2894413342907844,-0.23427002589860235,-0.14138091223423685,56,0.32939866783601185,3.4590997609970535,OOS,A
MOM long-only,0.2392338989931847,0.236987721239829,1.0094780343116705,3.138594757263982,-0.3385269539610656,-0.14138091223423685,116,0.13196305305412304,3.108570212613152,FULL,A
"MOM L/S, drop short leg in bear state",0.23111377742683387,0.21265122609332884,1.086820808291047,2.4302052067000486,-0.2821827631194076,-0.10828878746801558,60,0.4266285359455611,3.5441822520512707,IS,A
"MOM L/S, drop short leg in bear state",0.11183429745420609,0.22661968265648624,0.4934888979777026,1.0660578617788472,-0.2376358210081756,-0.14221424556757017,56,0.28274284443761083,3.554800604922511,OOS,A
"MOM L/S, drop short leg in bear state",0.1735305801986688,0.21922712054310473,0.7915561713750147,2.4610481507421635,-0.2995760509919507,-0.14221424556757017,116,0.332782307159416,3.569256989342057,FULL,A
"MOM L/S, beta-hedged (12m ex-ante beta)",0.2660742003524798,0.2302647478850255,1.1555142625884467,2.311028525176893,-0.25882591843876024,-0.10956509391198248,48,0.5114722516081849,3.500055262686721,IS,A
"MOM L/S, beta-hedged (12m ex-ante beta)",-0.04577867723158577,0.3050547379810828,-0.1500670913507484,-0.32418196880282846,-0.5842830913122972,-0.3451670001448207,56,-1.4981682956500126,6.799241599363443,OOS,A
"MOM L/S, beta-hedged (12m ex-ante beta)",0.09815342011490605,0.2755348740411162,0.35622866418085164,1.0487087919255633,-0.5842830913122974,-0.3451670001448207,104,-1.073523933216449,7.081444677408731,FULL,A
"MOM long-only, beta-hedged",0.29557115971178305,0.2687832748358773,1.0996635110285893,2.199327022057178,-0.2300490455621581,-0.15062455252899348,48,0.40530836465579556,3.0626190653154093,IS,A
