ticker,date,close,volume,tri,mktcap
1 HK Equity,2016-01-04,103.0,5161030.0,103.0,397546.834
1 HK Equity,2016-01-05,102.6,4310252.0,102.6,396002.9628
1 HK Equity,2016-01-06,102.5,4212001.0,102.5,395616.995
1 HK Equity,2016-01-07,100.4,7203131.0,100.4,387511.6712
1 HK Equity,2016-01-08,99.35,6934634.0,99.35,383459.0093
1 HK Equity,2016-01-11,97.95,7568202.0,97.95,378055.4601
1 HK Equity,2016-01-12,97.0,4286042.0,97.0,374388.766
1 HK Equity,2016-01-13,99.05,7775758.0,99.05,382301.1059
1 HK Equity,2016-01-14,97.9,5936173.0,97.9,377862.4762
1 HK Equity,2016-01-15,97.55,7867185.0,97.55,376511.5889
1 HK Equity,2016-01-18,96.7,5936787.0,96.7,373230.8626
1 HK Equity,2016-01-19,96.5,6939598.0,96.5,372458.927
1 HK Equity,2016-01-20,93.6,9493549.0,93.6,361265.8608
1 HK Equity,2016-01-21,93.2,9387004.0,93.2,359721.9896
1 HK Equity,2016-01-22,94.55,6981586.0,94.55,364932.5549
1 HK Equity,2016-01-25,94.2,5897691.0,94.2,363581.6676
1 HK Equity,2016-01-26,93.05,3881527.0,93.05,359143.0379
1 HK Equity,2016-01-27,93.15,4402639.0,93.15,359529.0057
1 HK Equity,2016-01-28,94.5,6497442.0,94.5,364739.571
1 HK Equity,2016-01-29,96.35,10104582.0,96.35,371879.9753
1 HK Equity,2016-02-01,97.55,8058627.0,97.55,376511.5889
1 HK Equity,2016-02-02,97.1,3760035.0,97.1,374774.7338
1 HK Equity,2016-02-03,95.35,6534578.0,95.35,368020.2973
1 HK Equity,2016-02-04,96.9,7172294.0,96.9,374002.7982
1 HK Equity,2016-02-05,95.15,4700581.0,95.15,367248.3617
1 HK Equity,2016-02-11,93.6,10679068.0,93.6,361265.8608
1 HK Equity,2016-02-12,91.95,7474998.0,91.95,354897.3921
1 HK Equity,2016-02-15,93.5,7392584.0,93.5,360879.893
1 HK Equity,2016-02-16,94.9,6120556.0,94.9,366283.4422
1 HK Equity,2016-02-17,95.05,4581452.0,95.05,366862.3939
1 HK Equity,2016-02-18,95.85,4627525.0,95.85,369950.1363
1 HK Equity,2016-02-19,95.6,3486005.0,95.6,368985.2168
1 HK Equity,2016-02-22,96.0,3691365.0,96.0,370529.088
1 HK Equity,2016-02-23,95.4,4381836.0,95.4,368213.2812
1 HK Equity,2016-02-24,95.55,3745269.0,95.55,368792.2329
1 HK Equity,2016-02-25,93.7,6709669.0,93.7,361651.8286
1 HK Equity,2016-02-26,95.1,7720178.0,95.1,367055.3778
1 HK Equity,2016-02-29,93.95,5193804.0,93.95,362616.7481
1 HK Equity,2016-03-01,94.8,4521690.0,94.8,365897.4744
1 HK Equity,2016-03-02,97.7,7103943.0,97.7,377090.5406
1 HK Equity,2016-03-03,97.55,4031653.0,97.55,376511.5889
1 HK Equity,2016-03-04,98.85,6424999.0,98.85,381529.1703
1 HK Equity,2016-03-07,98.15,4782343.0,98.15,378827.3957
