ticker,NAME,GICS_SECTOR_NAME,CUR_MKT_CAP,EQY_SH_OUT,PE_RATIO,PX_TO_BOOK_RATIO,EQY_DVD_YLD_IND,ID_ISIN,CRNCY,EQY_FREE_FLOAT_PCT
1876 HK Equity,BUDWEISER BREWING CO APAC LT,Consumer Staples,78731995165.00002,13243.4,18.15067212864289,1.0154884519160556,7.4575857719119805,KYG1674K1013,,
1928 HK Equity,SANDS CHINA LTD,Consumer Discretionary,99467634866.13998,8093.379999999999,14.38897543216314,9.851931661036948,8.136696501220506,KYG7800X1079,,
1929 HK Equity,CHOW TAI FOOK JEWELLERY GROU,Consumer Discretionary,109022959760.00002,9866.331,12.130673357457304,3.519546180001856,6.063348567323986,KYG211461085,,
1997 HK Equity,WHARF REAL ESTATE INVESTMENT,Real Estate,91815514368.48,3036.227,,0.5104677140377352,5.291005369847414,KYG9593A1040,,
2 HK Equity,CLP HOLDINGS LTD,Utilities,195168306532.50003,2526.451,18.018274378783545,1.766836618316706,4.142394883732965,HK0002007356,,
2015 HK Equity,LI AUTO INC-CLASS A,Consumer Discretionary,98349484824.54,1718.196,,,,KYG5479M1050,,
2020 HK Equity,ANTA SPORTS PRODUCTS LTD,Consumer Discretionary,200520041610.0,2796.653,10.592968412820987,2.3664121711729105,3.612273241519263,KYG040111059,,
2057 HK Equity,ZTO EXPRESS CAYMAN INC,Industrials,124897296221.6,557.3308999999999,,,1.868209658158729,KYG9897K1058,,
2269 HK Equity,WUXI BIOLOGICS CAYMAN INC,Health Care,209043474013.0999,4155.934,34.69740032467632,3.7015148832966593,,KYG970081173,,
2313 HK Equity,SHENZHOU INTERNATIONAL GROUP,Consumer Discretionary,52719486774.76,1502.836,9.878518246544818,1.2055141330042922,5.929304229492745,KYG8087W1015,,
2318 HK Equity,PING AN INSURANCE GROUP CO-H,Financials,1060725792596.9938,7447.576999999999,4.962198709048731,0.7962264518018211,5.990135996154843,CNE1000003X6,,
2319 HK Equity,CHINA MENGNIU DAIRY CO,Consumer Staples,68829802881.14,3871.193,31.38614037362167,1.4452606177323155,3.383509621979549,KYG210961051,,
2331 HK Equity,LI NING CO LTD,Consumer Discretionary,32542805150.27,2584.814,9.195805886301304,0.9694756650805932,5.406469367059855,KYG5496K1242,,
2338 HK Equity,WEICHAI POWER CO LTD-H,Industrials,274961734858.2301,1943.04,17.99775016147279,2.430210866583471,3.286568781784473,CNE1000004L9,,
2359 HK Equity,WUXI APPTEC CO LTD-H,Health Care,571344146010.8673,540.2678999999999,24.700600928491312,6.101556002141077,0.5941653179979037,CNE100003F19,,
2382 HK Equity,SUNNY OPTICAL TECH,Information Technology,72344589840.0,1078.965,12.92601562018992,2.1685356600457557,1.8229646348490989,KYG8586D1097,,
2388 HK Equity,BOC HONG KONG HOLDINGS LTD,Financials,548727295805.4,10572.78,13.156384160798616,1.5226944604601498,4.094412331406551,HK2388011192,,
