strategy,ann_ret,ann_vol,sharpe,t,maxdd,worst,n,skew,kurt,period,universe
Momentum 12-1 L/S,0.22869907249453564,0.20492649734467436,1.1160053748924288,2.4954638815146084,-0.2821827631194076,-0.10664404646900603,60,0.5692329412293039,3.9999496724061565,IS,survivor
Momentum 12-1 L/S,0.028784679441791798,0.28961200025527467,0.09939049285395606,0.21470800402448287,-0.46079889166374643,-0.33534470011878864,56,-1.4629311644821281,6.894774247464635,OOS,survivor
Momentum 12-1 L/S,0.13218867584838345,0.24999647761726898,0.5287621534042457,1.6439883445762982,-0.4607988916637463,-0.33534470011878864,116,-1.037753050809859,7.475264582470163,FULL,survivor
Momentum 12-1 long-only,0.329161785491736,0.23374083537722487,1.4082339740102117,3.148906894111505,-0.2794758895278787,-0.13220635876338716,60,-0.04425901311796692,2.930474258416379,IS,survivor
Momentum 12-1 long-only,0.14288259203045117,0.239376285072858,0.5968953523819729,1.2894413342907844,-0.23427002589860235,-0.14138091223423685,56,0.32939866783601185,3.4590997609970535,OOS,survivor
Momentum 12-1 long-only,0.2392338989931847,0.236987721239829,1.0094780343116705,3.138594757263982,-0.3385269539610656,-0.14138091223423685,116,0.13196305305412304,3.108570212613152,FULL,survivor
Momentum 12-1 L/S,0.05250027440395748,0.1983609160940469,0.2646704574557724,0.5918211345070731,-0.41657643513431186,-0.18296266943916545,60,-0.4121724788335775,3.892071834121144,IS,PIT
Momentum 12-1 L/S,0.018283744803291743,0.2654293345920675,0.0688836628829727,0.14880571916702934,-0.33386776955904574,-0.3338677695590457,56,-1.4941324262240214,7.966593560654991,OOS,PIT
Momentum 12-1 L/S,0.03598194976915334,0.23217688850857035,0.15497644920771317,0.48184136202070205,-0.41657643513431186,-0.3338677695590457,116,-1.2123043980731234,7.588630029098278,FULL,PIT
Momentum 12-1 long-only,0.11794536559684118,0.18682837176025746,0.6313032891395716,1.4116370689352866,-0.2961099673499986,-0.10346946082850868,60,-0.09053529820804189,2.1151121365587198,IS,PIT
Momentum 12-1 long-only,0.07770918864689803,0.22367646152885629,0.3474178199876112,0.750508268448616,-0.22540481572194726,-0.13057936080606278,56,0.5015508948753693,3.7843881066528215,OOS,PIT
Momentum 12-1 long-only,0.09852100431066177,0.20462069190033683,0.4814811414998426,1.4969857045609742,-0.34961077592449274,-0.13057936080606278,116,0.26140451732820597,3.272525139416884,FULL,PIT
