strategy,ann_ret,ann_vol,sharpe,t,maxdd,worst,n,skew,kurt,period,nstocks
Momentum HSI-95 L/S,0.20766615372702857,0.20462067622827965,1.0148835276810018,2.26934855713951,-0.2993358897850208,-0.10760404646900602,60,0.5845355366204764,4.028710221240222,IS,95
Momentum HSI-95 L/S,0.00698213548553641,0.28976456041677645,0.02409589176638375,0.052053075478278005,-0.4894170927844237,-0.3372310159082624,56,-1.459188525037676,6.883410009398195,OOS,95
Momentum HSI-95 L/S,0.11078421388630821,0.24996544905981014,0.44319810719040803,1.3779589137921409,-0.48941709278442347,-0.3372310159082624,116,-1.034540014924544,7.4867446393301105,FULL,95
Momentum HSI-95 long-only,0.3186673451556016,0.23371114705450582,1.3635093968422582,3.0488996992990267,-0.2831012839029302,-0.13302921590624428,60,-0.04187125554945972,2.939058105439822,IS,95
Momentum HSI-95 long-only,0.1314461866393461,0.23931717708905192,0.5492551276017846,1.1865266864193624,-0.23813723522037966,-0.1424475789009035,56,0.32839258432573976,3.463249813129472,OOS,95
Momentum HSI-95 long-only,0.22828471690637478,0.236959727559627,0.963390358595558,2.99530235023731,-0.347676879201946,-0.1424475789009035,116,0.13257800711140438,3.1149486484918096,FULL,95
Momentum 197-stock L/S,0.18423675962158342,0.16897940333303246,1.0902912188563068,2.4379652806338017,-0.2661074630932606,-0.08967542926481846,60,0.13726527260306073,2.7891483518968876,IS,197
Momentum 197-stock L/S,0.07205798612792291,0.268963347859717,0.26791005801097534,0.5787518721548461,-0.4111672353118201,-0.26693302373976846,56,-1.6301967232479664,6.189030002507676,OOS,197
Momentum 197-stock L/S,0.1300814896591266,0.22251202570656317,0.5846043118167062,1.8176086707948487,-0.4111672353118202,-0.26693302373976846,116,-1.435704338039013,7.188134306960415,FULL,197
Momentum 197-stock long-only,0.316412516345669,0.21769862283483152,1.4534428937831727,3.249997111913181,-0.2687445179016671,-0.11397005395381428,60,0.05727586367383419,2.309564459814288,IS,197
Momentum 197-stock long-only,0.23378332810182384,0.25183465196097027,0.9283207306119888,2.005401980017612,-0.20826836288245754,-0.13491987653108062,56,0.23099625831652668,3.0253704154279393,OOS,197
Momentum 197-stock long-only,0.2765225634003645,0.23407147107850176,1.1813595314553549,3.672996049287831,-0.2687445179016671,-0.13491987653108062,116,0.13833716404631513,2.7914868054077693,FULL,197
