code,name,shareholding,pct,date
00001,CK HUTCHISON HOLDINGS LIMITED,121263532,3.16,2025-12-15
00002,CLP HOLDINGS LIMITED,41756678,1.64,2025-12-15
00003,"HONG KONG AND CHINA GAS COMPANY LIMITED, THE",642402750,3.43,2025-12-15
00004,"WHARF (HOLDINGS) LIMITED, THE",5114950,0.16,2025-12-15
00005,HSBC HOLDINGS PLC,1557888980,9.06,2025-12-15
00006,POWER ASSETS HOLDINGS LIMITED,149247059,6.99,2025-12-15
00008,PCCW LIMITED,272934096,3.52,2025-12-15
00010,HANG LUNG GROUP LIMITED,22876000,1.67,2025-12-15
00011,HANG SENG BANK LTD -HKD TRADED SHARES,11146135,0.58,2025-12-15
00012,HENDERSON LAND DEVELOPMENT CO LTD,80052976,1.64,2025-12-15
00013,HUTCHMED (CHINA) LIMITED,241717051,27.71,2025-12-15
00014,HYSAN DEVELOPMENT COMPANY LIMITED,32525020,3.16,2025-12-15
00016,SUN HUNG KAI PROPERTIES LIMITED -HKD TRADED SHARES,73461984,2.52,2025-12-15
00017,NEW WORLD DEVELOPMENT CO LTD,125074201,4.96,2025-12-15
00019,SWIRE PACIFIC LTD 'A',12398500,1.58,2025-12-15
00020,SENSETIME GROUP INC. -HKD TRADED SHARES,10423501266,26.95,2025-12-15
00023,BANK OF EAST ASIA LTD,589119,0.01,2025-12-15
00027,GALAXY ENTERTAINMENT GROUP LIMITED,85553674,1.94,2025-12-15
00035,FAR EAST CONSORTIUM INTERNATIONAL LTD,426843,0.01,2025-12-15
00038,FIRST TRACTOR COMPANY LIMITED,208340730,53.15,2025-12-15
00041,GREAT EAGLE HOLDINGS LIMITED,20528608,2.74,2025-12-15
00042,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,6344000,2.45,2025-12-15
00045,"HONGKONG AND SHANGHAI HOTELS LTD,THE",17520,0.0,2025-12-15
00059,SKYFAME REALTY (HOLDINGS) LIMITED,1823710000,21.59,2025-12-15
00066,MTR CORPORATION LIMITED,98290296,1.56,2025-12-15
00069,SHANGRI-LA ASIA LIMITED,10940000,0.29,2025-12-15
00081,CHINA OVERSEAS GRAND OCEANS GROUP LIMITED,535878094,15.04,2025-12-15
00083,SINO LAND CO.LTD.,141622712,1.49,2025-12-15
00086,SUN HUNG KAI & CO.LTD,23351000,1.18,2025-12-15
00087,SWIRE PACIFIC LTD 'B',65060000,2.27,2025-12-15
00095,LVGEM (CHINA) REAL ESTATE INVESTMENT COMPANY LIMITED,603052000,9.47,2025-12-15
00101,HANG LUNG PROPERTIES LIMITED,405490821,8.01,2025-12-15
00107,SICHUAN EXPRESSWAY COMPANY LIMITED,407651207,45.53,2025-12-15
00116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,7521000,1.11,2025-12-15
00119,"POLY PROPERTY GROUP CO., LIMITED",1061404448,27.77,2025-12-15
00120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,60417400,3.68,2025-12-15
